English;Lietuviškai
____ ? There's a app for that.; ____ ? Tam yra apsas.
Why can't I sleep at night ?;Kodėl aš negaliu miegoti naktį ?
What's that smell ?;Kas čia per kvapas ?
I got 99 problems but _____ ain't one.;Aš turiu 99 problemas bet ____ nėra viena jų.
Who stole the cookies from the cookie jar ?;Kas pavogė sausainius iš sausainių stiklainio ?
What's the next Happy Meal toy ?;Koks bus kitas Happy Meal žaisliukas ?
Anthropologists have recently discovered a primitive tribe that worships ____;Antropologai neseniai atrado gentį, kuri garbina ____
It's a pity that kids these days are all getting involved with ____;Apmaudu, kad šiuolaikiniai vaikai įsipainioją į ____
During Picasso's often-overlooked Brown Period, he produced hundreds of paintings of ____;Per Pikaso (dažnai nepastebėtą) Rudąjį Periodą jis nupiešė 100 piešinių apie ____
Alternative medecine is now embracing the curative powers of ____;Alternatyvi medicina dabar populiarina ____ gydomąsias galias
And the Academy Award for ____ goes to ____ (2); Sidabrinė Gervė už ____ atitenka ____ (2)
What's that sound ?; Kas čia per garsas ?
What ended my last relationship ?; Dėl ko nutrūko mano paskutiniai santykiai ?
MTV's new reality show features eight washed-up celebrities living with ____ ; Naujame MTV realybės šou dalyvauja 8 užmirštos žvaigždės gyvenančios su ____
I drink to forget ____;Aš geriu, kad pamirščiau ____
I'm sorry Professor, but I couldn't complete my homework because of ____;Profesoriau, aš atsiprašau, bet aš negalėjau pabaigti namų darbų dėl ____
What is Batman's guilty pleasure ?;Koks yra slaptas Betmeno pomėgis?
This is the way the worlds ends, Not with a bang but with ____;Štai taip ateina pasaulio pabaiga - ne didžiuliu sprogimu bet ____
What's a girl's best friend ?;Kas yra merginų geriausias draugas ?
TSA guidelines now prohibits ____ on airplanes.;Pagal TSA taisykles lėktuvuose dabar draudžiama ____.
____. This is how I die; ____. Štai taip aš mirsiu.
For my next trick, I will pull ____ out of ____ (2); O dabar mano kitas triukas. Aš ištrauksiu ____ iš ____ (2)
In the new Disney Channel Original Movie, Hannah Montana struggles with ____ for the first time.; Naujame Disney Channel filme Hana Montana pirmą kartą kovoja su ____.
____ is a slippery slope that leads to ____ (2); ____ yra slidus reikalas, kuris veda prie ____ (2).
What does Dick Cheney prefer ?; Ką mėgsta Algirdas Butkevičius?
I wish I hadn't lost the instruction manual for ____; Aš norėčiau, kad nebūčiau pametęs ____ instrukcijos.
Instead of coal, Santa now gives the bad children ____.; Vietoje anglies Kalėdų Senelis blogiems vaikams dabar duoda ____
What's the most emo ?; Kas yra labiausiai emo ?
In 1000 years, when paper money is but a distant memory, ____ will be our currency.; Po 1000 metų, kai nebebus popierinių pinigų, mūsų valiuta bus ____
What's the next superhero/sidekick duo ? (2); Kitas superherojų duetas (2)
In M. Night Shyamalan's new movie, Bruce Willis discovers that ____ had really been ___ all along (2); Kitame M. Night Shyamalan filme Briusas Vilisas atranda, kad ____ visą laiką buvo ____ (2)
A romantic, candlelit dinner would be incomplete without ____; Romantiška vakarienė žvakių šviesoje nebūna be ____
_____. Betcha can't have just one!; ____. Lažinuosi, kad galima turėti daugiau negu vieną!
White people like ____; Baltieji atrodo kaip ____
____. High five, bro.; ____. Duok penkis!
Next from J.K. Rowling: Harry Potter and the Chamber of ____; Kita knyga iš J.K. Rowling: Haris Poteris ir ____ kambarys
In a world savaged by ____, our only solace is _____(2); Pasaulyje, kuris yra naikinamas ____, mūsų vienintelis išsigelbėjimas yra ____ (2)
War! What is it good for ?; Karas! Kam jis reikalingas ?
During sex, I like to think about ____; Sekso metu man patinka galvoti apie ____
What are my parents hiding from me ?; Ką nuo manęs slepia mano tėvai?
What will always get you laid ?; Kas tau visada padės permiegoti?
When I'm in prison, I'll have ____ smuggled in.; Kai aš būsiu kalėjime, norėsiu, kad man atneštų ____
What did I bring back from Mexico ?; Ką aš atsivežiau iš Olandijos ?
What don't you want to find in your Chinese food ?; Ko nenorėtumėte rasti savo kiniškame maiste?
What will I bring back in time to convince people that I am a powerful wizard ?; Ką aš pasiimsiu į kelionę laiku atgal, kad įtikinčiau žmones jos esu galingas burtininkas ?
How am I maintaining my relationship status ?; Kaip aš palaikau savo santykius ?
____. It's a trap !; ____. Tai spastai !
Coming to Broadway this season,  ____: the musical.; Šiame Operos ir Baleto teatro sezone bus pristatytas ____ : miuziklas.
While the United States raced the Soviet Union to the moon, the Mexican government funneled millions of pesos into research on ____; Tuo metu kai JAV konkuravo su Sovietų Sąjunga kas pirmi pasieks mėnulį, Meksikos valdžia investavo milijonus pesų į ____ tyrimus.
Due to a PR fiasco, Walmart no longer offers ____; Dėl PR fiasko Maksima daugiau nebesiūlo ____
In his new summer comedy, Rob Schneider is ____ trapped in the body of ____ (2); Šios vasaros komedijoje Rob Schneider yra ____ įkalintas ____ kune (2)
Rumor has it that Vladimir Putin's favorite dish is ____ stuffed with ____ (2); Sklinda gandai, kad Vladimiro Putino mėgstamiausias patiekalas yra ____ prikimštas ____ (2)
But before I kill you, Mr Bond, I must show you ____; Bet prieš tave nužudant, Pone Bondai, aš turiu tau parodyti ____
What gives me uncontrollable gas ?; Dėl ko aš pradedu nesustodamas bezdėti ?
What do old people smell like ?; Kuo kvepia seni žmonės ?
The class field trip was completely ruined by ___; Klasės išvyka buvo visiškai sugadinta ____
When Pharaoh remained unmoved, Moses called down a Plague of ____; Kadangi faraonas nenusileido Mozė užleido ____ marą.
What's my secret power ?; Kokia mano slapta galia ?
What's there a ton of in heaven ?; Ko netrūksta rojuje ?
What would grandma find disturbing, yet oddly charming ?; Kas močiutę sutrikdytų, bet tuo pačiu keistai sužavėtų ?
I never truly understood ____ until I encountered ____ (2); Aš niekada nesupratau ____ kol nepamačiau ____ (2)
The US has begun airdropping ___ to the children of Afghanistan; JAV Afganistano vaikams pradėjo mėtyti ____
What helps Obama unwind ?; Kas padeda Daliai Grybauskaitei nuleisti garą ?
What did Vin Diesel eat for dinner ?; Ką Vin Dieselis valgo pietums ?
____ : Good to the last drop; ____ : geras iki paskutinio lašo
Why am I sticky ?; Kodėl aš esu lipnus ?
What gets better with age ?; Kas gerėja su amžiumi ?
____: kid-tested, mother-approved; ____: išbandyta vaikų, leidžiama mamos
What's the crustiest ?; Kas yra traškiausias ?
Studies show that lab rats navigate mazes 50% after being exposed to ____; Tyrimai rodo, kad laboratorijos žiurkės randa išėjimą iš labirinto 50% greičiau, kai ____.
Life was difficult for cavemen before _____; Gyvenimas urviniam žmogui buvo sunkus prieš ____
Make a haiku. (draw 2, pick 3); Sukurk haiku (trauk 2, pasiimk 3)
I do not know with what weapons World War III will be fought, but World War IV will be fought with ____; Aš nežinau kokie ginklai bus naudojami Trečiame Pasauliniame Kare, bet Ketvirtame Pasauliniame Kare bus kovojama ____.
Why do I hurt all over ?; Kodėl man viską skauda ?
What am I giving up for Lent ?; Ko aš nevalgau per gavėnią ?
In Michael Jackson's final moments, he thought about ____; Paskutinę savo gyvenimo akimirką Maiklas Džeksonas galvojo apie ____
In an attempt to reach a wider audience, the Smithsonian Museum of Natural History has opened an interactive exhibit on ____; Norėdami pritraukti daugiau lankytojų Valdovų Rūmai atidarė interaktyvią parodą apie ____
When I am President of the United States, I will create the Department of ____; Kai būsiu Lietuvos premjeras aš sukursiu ____ departamentą
LifeTime presents _____, the story of ____(2); LNK pristato ____, istorija apie ____ (2)
When I am a billionaire, I shall erect a 50-foot statue to commemorate ____; Kai būsiu milijardierius aš pastatysiu 15 metrų statulą ____ atminti
When I was tripping on acid, ____ turned into ____ (2); Kai aš padauginau narkotikų ____ pavirto į ____ (2)
That's right, I killed ____, How, you ask ? ____ (2); Taip, teisingai, aš nužudžiau ____. Tau įdomu kaip? ____ (2)
What's my anti-drug ?; Ką aš darau, kad nesinorėtų žolės ?
____ + ____ = _____ (draw 2, pick 3); ____ + ____ = ____ (trauk 2, pasiimk 3)
What never fails to liven up the party ?; Kas visada pagyvina vakarėlį ?
What's the new fad diet ?; Kokia šiuo metu yra populiariausia dieta ?
Major League Baseball has banned ____ for giving players an unfair advantage.; LKL uždraudė ____ nes tai suteikė žaidėjams nesąžiningą privalumą
;Tai mano gyvenimo viršūnė. Aš jaunas, karštas ir pilnas ___
;Kaip aš kompensuoju savo mažą penį?
;Sekite mano balsą, mirtingieji! Aš esu ___ dievas ir netoleruosiu ___.
;Kalba jūsų kapitonas. Prisisekite diržus ir pasiruoškite ___.
;Paskambinkite teisininkams, nes niekas darbo vietoje neturėtų toleruoti ___
;Mažule, einam pas mane namo ir aš tau parodysiu ___.
;Žingsnis 1: ___, Žingsnis 2:, Žingsnis 3: Pelnas
;Šio mėnesio žurnale "Cosmo": paįvairink savo seksualinį gyvenimą, įtrauk ___ į savo miegamąjį
;Kas yra juokinga kol tai nepasidaro keista?
